Test,State Name,Region Name,System Name,System Code,District Name,District Code,Building Name,Class Name,Class Grade,Date Tested,GUID,Submission ID,Gender,Date of Birth,Age in Months,Age in Years/Months,Ethnicity String ,Battery,Level,Form,Norm Year,Quartermonth,Semester,Programs String,Office Use Subtest Exclusion V,Office Use Subtest Exclusion Q,Office Use Subtest Exclusion N,Office Use Subtest Exclusion VQ,Office Use Subtest Exclusion VN,Office Use Subtest Exclusion QN,Office Use Subtest Exclusion VQN,Code Character String (A-T),Number Attempted (NA) V,Number Attempted (NA) Q,Number Attempted (NA) N,Completion Criteria (CC) V,Completion Criteria (CC) Q,Completion Criteria (CC) N,Completion Criteria (CC) VQ,Completion Criteria (CC) VN,Completion Criteria (CC) QN,Completion Criteria (CC) VQN,Raw Score (RS) V,Raw Score (RS) Q,Raw Score (RS) N,Universal Scale Score (USS) V,Universal Scale Score (USS) Q,Universal Scale Score (USS) N,Universal Scale Score (USS) VQ,Universal Scale Score (USS) VN,Universal Scale Score (USS) QN,Universal Scale Score (USS) VQN,Standard Age Score (SAS) V,Standard Age Score (SAS) Q,Standard Age Score (SAS) N,Standard Age Score (SAS) VQ,Standard Age Score (SAS) VN,Standard Age Score (SAS) QN,Standard Age Score (SAS) VQN,Grade Percentile Rank (GPR) V,Grade Percentile Rank (GPR) Q,Grade Percentile Rank (GPR) N,Grade Percentile Rank (GPR) VQ,Grade Percentile Rank (GPR) VN,Grade Percentile Rank (GPR) QN,Grade Percentile Rank (GPR) VQN,Age Percentile Rank (APR) V,Age Percentile Rank (APR) Q,Age Percentile Rank (APR) N,Age Percentile Rank (APR) VQ,Age Percentile Rank (APR) VN,Age Percentile Rank (APR) QN,Age Percentile Rank (APR) VQN,Grade Stanine (GS) V,Grade Stanine (GS) Q,Grade Stanine (GS) N,Grade Stanine (GS) VQ,Grade Stanine (GS) VN,Grade Stanine (GS) QN,Grade Stanine (GS) VQN,Age Stanine (AS) V,Age Stanine (AS) Q,Age Stanine (AS) N,Age Stanine (AS) VQ,Age Stanine (AS) VN,Age Stanine (AS) QN,Age Stanine (AS) VQN,SAS Valid Flags V,SAS Valid Flags Q,SAS Valid Flags N,SAS Valid Flags VQ,SAS Valid Flags VN,SAS Valid Flags QN,SAS Valid Flags VQN,TMO Flags V,TMO Flags Q,TMO Flags N,TMO Flags VQ,TMO Flags VN,TMO Flags QN,TMO Flags VQN,Extremely Variable Flags V,Extremely Variable Flags Q,Extremely Variable Flags N,Extremely Variable Flags VQ,Extremely Variable Flags VN,Extremely Variable Flags QN,Extremely Variable Flags VQN,Chance Flags  V,Chance Flags  Q,Chance Flags  N,Chance Flags  VQ,Chance Flags  VN,Chance Flags  QN,Chance Flags  VQN,Ability Profile ,Raw Score Personal Standard Error V,Raw Score Personal Standard Error Q,Raw Score Personal Standard Error N,Raw Score Upper Bound V,Raw Score Upper Bound Q,Raw Score Upper Bound N,Raw Score Lower Bound V,Raw Score Lower Bound Q,Raw Score Lower Bound N,SAS Upper Bound V,SAS Upper Bound Q,SAS Upper Bound N,SAS Upper Bound VQ,SAS Upper Bound VN,SAS Upper Bound QN,SAS Upper Bound VQN,SAS Lower Bound  V,SAS Lower Bound  Q,SAS Lower Bound  N,SAS Lower Bound  VQ,SAS Lower Bound  VN,SAS Lower Bound  QN,SAS Lower Bound  VQN,Item Responses,Mode of Administration,TestInstance GUID,Administration Language,Grade_Entering,top-choice school,second-choice school,third-choice school
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,E70DB0FCB50D4CDF882D21BB4ECC582D        ,19259270,M,4262016,59,411,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,22,6,,136,130,,133,,,,96,74,,85,,,,9,1,,2,,,,40,5,,17,,,,2,1,,1,,,,4,2,,3,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,3.4237,2.1421,,25.4237,8.1421,,18.5763,3.8579,,105.85,88.42,,96.68,,,,89.16,63.15,,70.98,,,,BACABB1AAB131AB2CB12BC22C333AABC3B2332321C1131C33C123323A3C23323122B23C33323113300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,611C59030F944C09837DB3F2A8F11CDC        ,ENU,Kindergarten,Bates Academy,Academy of the Americas,Chrysler Elementary
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,745834E3807F4F39A895CCB969CB4903        ,19400444,F,1012016,62,502,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,26,16,,143,144,,144,,,,105,108,,107,,,,26,29,,27,,,,62,69,,67,,,,4,4,,4,,,,6,6,,6,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,4.1701,3.4014,,30.1701,19.4014,,21.8299,12.5986,,116.34,112.8,,113.46,,,,93.83,101.2,,99.54,,,,BA20BB1A2113CAB22B3C1CAAC3B3AABCABCBBAB3111BA1C1A11AA131222C33ABC23B221BB3CAC21300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,C3350A774A184CB4A4E023B0026B10E4        ,ENU,Kindergarten,Foreign Language Immersion and Cultural Studies School,Charles Wright Academy of Arts and Science,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,E1476F830D114524B01AA1025BAA983B        ,19452186,F,12222015,63,503,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,21,15,,135,143,,139,,,,92,105,,98,,,,8,25,,11,,,,31,62,,45,,,,2,4,,2,,,,4,6,,5,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2.9079,4.5526,,23.9079,19.5526,,18.0921,10.4474,,97.82,112.55,,105,,,,85.18,91.35,,88,,,,BACABB232BC013BACB1C3C3AC3333ABC31231A3A12BBACCBACC2312322C1A1331133C3CB33C3111300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,8C03E903B54A4FC78E86AB8744BF1557        ,ENU,Kindergarten,Foreign Language Immersion and Cultural Studies School,Bates Academy,Detroit International Academy for Young Women
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,CAE44D3D935541C1B44F4E01AA977BAB        ,19230505,M,6252016,,409,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,23,13,,137,141,,139,,,,,,,,,,,11,19,,11,,,,,,,,,,,2,3,,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3.1482,4.2477,,26.1482,17.2477,,19.8518,8.7523,,,,,,,,,,,,,,,,BA1AB11AA1102ABACB31BCA21ABA32BC2B1B1AB3111B31C3211223A3AACC3BA1C23322C3BB22221200000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,9317955119F0482AB81EFA271786487F        ,ENU,Kindergarten,Foreign Language Immersion and Cultural Studies School,Bates Academy,Charles Wright Academy of Arts and Science
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,CA737E852141402E844F111C3171CAD8        ,19374119,F,10072015,65,505,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,37,0,1,1,0,1,0,0,0,27,15,,145,143,,144,,,,105,102,,104,,,,32,25,,27,,,,62,55,,60,,,,4,4,,4,,,,6,5,,6,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3.8242,2.7059,,30.8242,17.7059,,23.1758,12.2941,,114.65,107.71,,111.06,,,,94.35,96.58,,97.82,,,,BAC2BB1A231B1ABACBBCBCAACA1A2ABCA1133A32C2B1ACCBAC123121AAC13B2311AB0AC11313111300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,C674F1C9AABD4CDD89F12B1A7F3D5EEB        ,ENU,Kindergarten,Bates Academy,Charles Wright Academy of Arts and Science,Bates Academy
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,5FD042F7CB354C55BAC904E5FE23E17B        ,19252517,F,8302016,,407,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,24,16,,139,144,,142,,,,,,,,,,,15,29,,20,,,,,,,,,,,3,4,,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,4.8465,3.3895,,28.8465,19.3895,,19.1535,12.6105,,,,,,,,,,,,,,,,BACABBCA21C3C2B2C3BC12232A32AABCAB2B1A1A221BA1C32C1AA3AB23CCA12B123323CB1B2211B200000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,17528E2A6B414D50A2681764F704B339        ,ENU,Kindergarten,Bates Academy,Foreign Language Immersion and Cultural Studies School,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,DB5CA01FC55C49D48C20341E15B93F11        ,19179145,M,5102016,,410,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,37,0,1,1,0,1,0,0,0,13,6,,126,130,,128,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,3.1023,2.2263,,16.1023,8.2263,,9.8977,3.7737,,,,,,,,,,,,,,,,32221B22232B22BAC332B13213BA22BC2BC3B212221331132C1A232322213B2022A1C21113C2111300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,D592CABB0C1A44B6A27726DFECB26434        ,ENU,Kindergarten,Chrysler Elementary (Grades K-5),Bates Academy,Foreign Language Immersion and Cultural Studies School
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,5D27DD07F7D34D389499BBE46BAE53B3        ,19248719,M,7052016,,408,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,14,14,,127,142,,134,,,,,,,,,,,1,22,,3,,,,,,,,,,,1,3,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3.0192,3.0824,,17.0192,17.0824,,10.9808,10.9176,,,,,,,,,,,,,,,,BA23B11AA12012B2C1113C222AB2A332A123B2B322B1A1213C12232BA2C2AB3BC22323C3BBC2223300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,2C080B35DDBF43F68C74E281F632CDFE        ,ENU,Kindergarten,Bates Academy,Foreign Language Immersion and Cultural Studies School,Charles Wright Academy of Arts and Science
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,B3BA08F5C8CB4EA0923D6A2DD26A04AA        ,19371322,M,2082016,61,501,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,31,26,,153,157,,155,,,,118,126,,123,,,,56,75,,65,,,,87,95,,92,,,,5,6,,6,,,,7,8,,8,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2.3765,2.2213,,33.3765,28.2213,,28.6235,23.7787,,125.13,131.89,,126.78,,,,113.25,121.56,,118.22,,,,BACABBCAAB13C3BACBBCBCAAC3B3AA11ABCBB33A12BBACCBACC33123AACCAB2B1CABCACB3BCA121200000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,4D918E79B0C04203A2F35942887F7EFA        ,ENU,Kindergarten,Bates Academy,Chrysler Elementary,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,560EE85BD655445988EB3CB52A7D52A0        ,19369842,F,7202016,,408,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,31,19,,153,147,,150,,,,,,,,,,,56,42,,50,,,,,,,,,,,5,5,,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2.9258,3.4809,,33.9258,22.4809,,28.0742,15.5191,,,,,,,,,,,,,,,,BACA3B1AAB1B2AB2CBBCBCAAC3BA2A1C2BCBBAB2C2B3ACC1A1C3A1A3A2222B2B22A313C3BBCACC3300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,B13A070F26C84D71BC14F83CABDF359F        ,ENU,Kindergarten,Bates Academy,Chrysler Elementary,None
